ID;Nombre;America;Pais_Hotel
0;HotelDesconocido;0;ND
5;TheRoyalSuitesPuntaMita;1;MX
6;PalladiumVallarta;1;MX
9;DominicanFiestaHotel&Casino;1;RD
12;PalladiumHotelDonCarlos;0;ES
14;MallorcaRocksBuilding1;0;ES
15;UshuaiaIbizaBeachHotel;0;ES
16;MallorcaRocksApartments;0;ES
17;FiestaClubPalmBeach;0;ES
19;AgroturismoSaTalaia;0;ES
20;PalladiumHotelCalaLlonga;0;ES
21;FiestaHotelCalaNova;0;ES
22;PalladiumHotelPalmyra;0;ES
23;FiestaHotelMilord;0;ES
24;FiestaClubDonToni;0;ES
25;FiestaHotelTanit;0;ES
26;MallorcaRocksBuilding2;0;ES
27;FiestaHotelCalaGracio;0;ES
28;FiestaHotelDonToni;0;ES
30;HardRockHotelIbiza;0;ES
31;FiestaHotelCastellPlaya;0;ES
32;HardRockHotelTenerife;0;ES
83;GrandPalladiumImbassaiResort&Spa;1;BR
92;GrandPalladiumJamaica&LadyHamiltonResort;1;JK
94;GrandPalladiumPalaceIbiza&WhiteIslandResort;0;ES
96;ComplejoCostaMujeres;1;MX
97;BlessHotelMadrid5*;0;ES
98;PalladiumHotelCostadelSol;0;ES
99;TRSCapCana;1;RD
100;BlessHotelIbiza;0;ES
102;PalladiumHotelMenorca;0;ES
103;GrandPalladiumSiciliaResort&Spa;0;IT
106;ComplejoRivieraMaya;1;MX
107;ComplejoPuntaCana;1;RD
110;TRSIbizaHotel;0;ES
