PAIS;CONTINENTE
AFGANISTAN;ORIENTEM
ALBANIA;EUROPA
ALEMANIA;EUROPA
ANDORRA;EUROPA
ANGOLA;AFRICA
ANGUILA;AMERICA
ANGUILLA;AMERICA
ANTARTIDA;ANTARTIDA
ANTIGUAYBARBUDA;AMERICA
ANTILLASNEERLANDESAS;AMERICA
ARABESAHARAUI(SAHARAOCCIDEN;AFRICA
ARABIASAUDI;ORIENTEM
ARABIASAUDITA;ORIENTEM
ARGELIA;AFRICA
ARGENTINA;AMERICA
ARMENIA;EURESTE
ARUBA;AMERICA
AUSTRALIA;OCEANIA
AUSTRIA;EUROPA
AZERBAIYAN;EURESTE
BAHAMAS;AMERICA
BAHREIN;ORIENTEM
BANGLADES;ASIA
BANGLADESH;ASIA
BARBADOS;AMERICA
BELGICA;EUROPA
BELICE;AMERICA
BENIN;AFRICA
BERMUDAS;AMERICA
BHUTAN;ASIA
BIELORRUSIA;EURESTE
BOLIVIA;AMERICA
BOSNIAYHERCEGOVINA;EUROPA
BOTSUANA;AFRICA
BOTSWANA;AFRICA
BRASIL;AMERICA
BRUNEI;ASIA
BRUNEIDARUSSALAM;ASIA
BULGARIA;EURESTE
BURKINAFASO;AFRICA
BURUNDI;AFRICA
BUTAN;ASIA
CABOVERDE;AFRICA
CAMBOYA;ASIA
CAMERUN;AFRICA
CANADA;AMERICA
CHAD;AFRICA
CHILE;AMERICA
CHINA;ASIA
CHIPRE;AMERICA
CIUDADDELVATICANO;EUROPA
COLOMBIA;AMERICA
COMORAS;AFRICA
CONGO(BRAZZAVILLE);AFRICA
COREA;ASIA
COREADELNORTE;ASIA
COREADELSUR;ASIA
COSTADEMARFIL;AFRICA
COSTARICA;AMERICA
CROACIA;EUROPA
CUBA;AMERICA
CURAZAO;AMERICA
DINAMARCA;EUROPA
DJIBOUTI;AFRICA
DOMINICA;AMERICA
ECUADOR;AMERICA
EGIPTO;AFRICA
ELSALVADOR;AMERICA
EMIRATOSARABESUNIDOS;ORIENTEM
ERITREA;AFRICA
ESLOVAQUIA;EURESTE
ESLOVENIA;EUROPA
ESPANA;EUROPA
ESTADOSUNIDOS;AMERICA
ESTONIA;EUROPA
ETIOPIA;AFRICA
FEDERACIONDERUSIA;EURESTE
FILIPINAS;ASIA
FINLANDIA;EUROPA
FIYI;OCEANIA
FRANCIA;EUROPA
GABON;AFRICA
GEORGIA;EURESTE
GHANA;AFRICA
GIBRALTAR;EUROPA
GRANADA;AMERICA
GRECIA;EUROPA
GROENLANDIA;AMERICA
GUADALUPE;AMERICA
GUADALUPE,SAINTMARTINYSAINTBARTHELEMY;AMERICA
GUADALUPESAINTMARTINYSAINTBARTHELEMY;AMERICA
GUAM;ASIA
GUATEMALA;AMERICA
GUAYANA;AMERICA
GUAYANAFRANCESA;AMERICA
GUERNSEY;EUROPA
GUINEA;AFRICA
GUINEA-BISSAU;AFRICA
GUINEAECUATORIAL;AFRICA
GUYANA;AMERICA
HAITI;AMERICA
HONDURAS;AMERICA
HONGKONG;ASIA
HUNGRIA;EURESTE
INDIA;ASIA
INDONESIA;ASIA
IR;DESCONOCIDO
IRAK;ORIENTEM
IRAN;ORIENTEM
IRAQ;ORIENTEM
IRLANDA;EUROPA
ISLADELHOMBRE;EUROPA
ISLADENAVIDAD;OCEANIA
ISLANDIA;EUROPA
ISLASALAND;EUROPA
ISLASBERMUDAS;AMERICA
ISLASCAIMAN;AMERICA
ISLASFEROE;EUROPA
ISLASHEARDYMCDONALD;OCEANIA
ISLASMALVINAS;AMERICA
ISLASMARIANASDELNORTE;OCEANIA
ISLASSALOMON;AMERICA
ISLASTURCASYCAICOS;AMERICA
ISLASTURCOSYCAICOS;AMERICA
ISLASULTRAMARINASMENORESDE;AMERICA
ISLASULTRAMARINASMENORESDEESTADOSUNIDOS;AMERICA
ISLASVIRGENESBRITANICAS;AMERICA
ISLASVIRGENESDEEE.UU;AMERICA
ISLASVIRGENESDEEEUU;AMERICA
ISLASVIRGENESDELOSESTADOSUNIDOS;AMERICA
ISRAEL;ORIENTEM
ITALIA;EUROPA
JAMAICA;AMERICA
JAPON;ASIA
JERSEY;EUROPA
JORDANIA;ORIENTEM
KAZAJISTAN;ORIENTEM
KENIA;AFRICA
KIRGUISTAN;ORIENTEM
KIRIBATI;OCEANIA
KUWAIT;ORIENTEM
LAOS;ASIA
LESOTO;AFRICA
LETONIA;EUROPA
LIBANO;ORIENTEM
LIBERIA;AFRICA
LIBIA;AFRICA
LIECHTENSTEIN;EUROPA
LITUANIA;EUROPA
LUXEMBURGO;EUROPA
MACAO;ASIA
MACEDONIA;EUROPA
MADAGASCAR;AFRICA
MALASIA;ASIA
MALAWI;AFRICA
MALDIVAS;ASIA
MALI;AFRICA
MALTA;EUROPA
MARRUECOS;AFRICA
MARTINICA;AMERICA
MAURICIO;AFRICA
MAURITANIA;AFRICA
MAYOTTE;AFRICA
MEXICO;AMERICA
MICRONESIA;OCEANIA
MINORITARIOS;DESCONOCIDO
MOLDAVIA;EURESTE
MONACO;EUROPA
MONGOLIA;ASIA
MONTENEGRO;EUROPA
MYANMAR;ASIA
NAMIBIA;AFRICA
NAURU;OCEANIA
NEPAL;ASIA
NETHERLANDSANTILLES;AMERICA
NICARAGUA;AMERICA
NIGER;AFRICA
NIGERIA;AFRICA
NIUE;OCEANIA
NORUEGA;EUROPA
NUEVACALEDONIA;OCEANIA
NUEVAZELANDA;OCEANIA
OMAN;ORIENTEM
PAISESBAJOS;EUROPA
PAKISTAN;ORIENTEM
PALESTINA;ORIENTEM
PANAMA;AMERICA
PAPUANUEVAGUINEA;OCEANIA
PARAGUAY;AMERICA
PERU;AMERICA
POLINESIAFRANCES;OCEANIA
POLONIA;EURESTE
PORTUGAL;EUROPA
PUERTORICO;AMERICA
QATAR;ORIENTEM
REINOUNIDO;EUROPA
REP.DEMOCRATICADELCONGO;AFRICA
REPDEMOCRATICADELCONGO;AFRICA
REPUBLICACENTROAFRICANA;AFRICA
REPUBLICACHECA;EURESTE
REPUBLICADEKOSOVO;EUROPA
REPUBLICADELCONGO;AFRICA
REPUBLICADEMAURICIO;AFRICA
REPUBLICADEMOCRATICADELCONGO;AFRICA
REPUBLICADEMOLDAVIA;EUROPA
REPUBLICADEMOZAMBIQUE;AFRICA
REPUBLICADOMINICANA;AMERICA
REUNION;AFRICA
REUNIONYMAYOTTE;AFRICA
RUANDA;AFRICA
RUMANIA;EURESTE
RUSIA;EURESTE
SAMOA;OCEANIA
SAMOAAMERICANA;OCEANIA
SANCRISTOBALYNIEVES;AMERICA
SANMARINO;EUROPA
SANMARTIN;AMERICA
SANPEDROYMIQUELON;AMERICA
SANTALUCIA;AMERICA
SANVICENTEYLASGRANADINAS;AMERICA
SENEGAL;AFRICA
SERBIA;EURESTE
SEYCHELLES;AFRICA
SIERRALEONA;AFRICA
SINGAPUR;ASIA
SINPAIS;DESCONOCIDO
SINTMAARTEN;AMERICA
SIRIA;ORIENTEM
SOMALIA;AFRICA
SRILANKA;ASIA
SUAZILANDIA;AFRICA
SUDAFRICA;AFRICA
SUDAN;AFRICA
SUDANDELSUR;AFRICA
SUECIA;EUROPA
SUIZA;EUROPA
SURINAM;AMERICA
SVALBARDYJANMAYEN;EUROPA
SWAZILANDIA;AFRICA
TAILANDIA;ASIA
TAIWAN;ASIA
TANZANIA;AFRICA
TAYIKISTAN;ORIENTEM
TERRITORIOBRITANICODELOCEAN;ASIA
TERRITORIOBRITANICODELOCEANOINDICO;ASIA
TERRITORIOSFRANCESESDELSUR;OCEANIA
TOGO;AFRICA
TOKELAU;OCEANIA
TONGA;OCEANIA
TRINIDADYTOBAGO;AMERICA
TUNEZ;AFRICA
TURKMENISTAN;ORIENTEM
TURQUIA;ORIENTEM
TUVALU;OCEANIA
UCRANIA;EURESTE
UGANDA;AFRICA
URUGUAY;AMERICA
UZBEKISTAN;ORIENTEM
VANUATU;OCEANIA
VENEZUELA;AMERICA
VIETNAM;ASIA
WALLISYFUTUNA;OCEANIA
YIBUTI;AFRICA
ZAMBIA;AFRICA
ZIMBABUE;AFRICA
