HOTEL;LLEGADA_MES;LLEGADA_DIAm;LLEGADA_DIAs;LLEGADA_AVANCE;SALIDA_MES;SALIDA_DIAm;SALIDA_DIAs;SALIDA_AVANCE;NOCHES;DURACION_ESTANCIA;REGIMEN;TIPO;USO;PAX_NUM;PAX_CAT;ADULTOS;NENES;BEBES;TIPO_CLIENTE;CLIENTE;GRUPO;MONEDA;SUPLETORIA;CUNAS;FECHA_TOMA_MES;FECHA_TOMA_DIAm;FECHA_TOMA_DIAs;FECHA_TOMA_AVANCE;LT_TOMA_LLEGADA;FIDELIDAD;COMERCIALIZADORA;VALOR_USD;VALOR_USD_PAX;VALOR_USD_NOCHE;VALOR_USD_PAX_NOCHE;GRATIS;PAIS;CONTINENTE;SEGMENTO;FUENTE_NEGOCIO
ComplejoCostaMujeres;1;1;1;Calculado;1;1;1;Calculado;Calculado y <247;Calculado y:;AllInclusive;BAVAmbassadorSuitePOV;int 1-6;Calculado y 1-8;Calculado y:;int 0-8;int 0-6;int 0-3;1;(Ecomm)CLUBTURAVIASAdeCV;int 0-1;USD;int 0-1;int 0-3;1;1;1;Calculado;Calculado;Ninguna;int 0-1;Calculado por Metamodelo;Calcular;Calcular;Calcular;int 0-1;ESPANA;Obtenido por df_paises y:;BAR;CORPORATE
ComplejoPuntaCana;2;2;2;;2;2;2;;;Corta;AlojamientoyDesayuno;BAVJuniorSuiteBS;;;Familias;;;;2;(NOUSAR)BADATOURS;;BRL;;;2;2;2;;;PalladiumConnect;;;;;;;AFGANISTAN;AFRICA;Complimentary;DIRECTSALES
ComplejoRivieraMaya;3;3;3;;3;3;3;;;Larga;Desconocido;BAVJuniorSuiteGV;;;Parejas;;;;9;(NOUSAR)GLOBALTRAVELINTERNATIONAL(FL);;DOP;;;3;3;3;;;PalladiumRewards;;;;;;;ALBANIA;AMERICA;FixedRates;E-COMMERCE
DominicanFiestaHotel&Casino;4;4;4;;4;4;4;;;Media;MediaPension;BAVJuniorSuiteSWPOV;;;Single;;;;;(NOUSAR)RUTAMAYATRAVELSADECV;;JMD;;;4;4;4;;;WyndHamRewards;;;;;;;ALEMANIA;ANTARTIDA;GroupLeisure;OTHERS
GrandPalladiumImbassaiResort&Spa;5;5;5;;5;5;5;;;MuyLarga;PensionCompleta;BAVPremiumJSGV;;;;;;;;(NOUSAR)SARAPETROLETRAVELS;;MXN;;;5;5;5;;;;;;;;;;ANDORRA;ASIA;Loyalty;T,O,/T,A,
GrandPalladiumJamaica&LadyHamiltonResort;6;6;6;;6;6;6;;;SinPernocta;SoloAlojamiento;BAVRomanceSuiteBS;;;;;;;;360oTOUROPERADOR;;;;;6;6;6;;;;;;;;;;ANGOLA;DESCONOCIDO;MICE;
PalladiumVallarta;7;7;7;;7;7;7;;;;;BAVRomanceSuiteGV;;;;;;;;3D'SLIFESTYLEBOOKING;;;;;7;7;7;;;;;;;;;;ANGUILLA;EURESTE;Miscellaneous;
TRSCapCana;8;8;;;8;8;;;;;;BAVRooftopJTJS;;;;;;;;7THHEAVENJAMAICATRAVEL;;;;;8;8;;;;;;;;;;;ANTARTIDA;EUROPA;Opaque;
;9;9;;;9;9;;;;;;BAVRooftopJTST;;;;;;;;A&BMaster;;;;;9;9;;;;;;;;;;;ANTIGUAYBARBUDA;OCEANIA;Package;
;10;10;;;10;10;;;;;;BAVSignatureSuitePOV;;;;;;;;AAAOHIOAUTOCLUB;;;;;10;10;;;;;;;;;;;ARABIASAUDI;ORIENTEM;TravelIndustry;
